gender,marital,parenthood,country,age,category,total_moments,percent_category
m,single,y,VEN,0,affection,0,0
m,single,y,VEN,0,leisure,0,0
m,single,y,VEN,0,bonding,0,0
m,single,y,VEN,0,achievement,0,0
m,single,y,VEN,0,enjoy_the_moment,0,0
m,single,y,VEN,0,exercise,0,0
m,single,y,VEN,0,nature,0,0
m,single,y,VEN,10,affection,0,0
m,single,y,VEN,10,leisure,0,0
m,single,y,VEN,10,bonding,0,0
m,single,y,VEN,10,achievement,0,0
m,single,y,VEN,10,enjoy_the_moment,0,0
m,single,y,VEN,10,exercise,0,0
m,single,y,VEN,10,nature,0,0
m,single,y,VEN,20,affection,48,33.33
m,single,y,VEN,20,leisure,48,16.67
m,single,y,VEN,20,bonding,48,20.83
m,single,y,VEN,20,achievement,48,18.75
m,single,y,VEN,20,enjoy_the_moment,48,10.42
m,single,y,VEN,20,exercise,48,0.0
m,single,y,VEN,20,nature,48,0.0
m,single,y,VEN,30,affection,0,0
m,single,y,VEN,30,leisure,0,0
m,single,y,VEN,30,bonding,0,0
m,single,y,VEN,30,achievement,0,0
m,single,y,VEN,30,enjoy_the_moment,0,0
m,single,y,VEN,30,exercise,0,0
m,single,y,VEN,30,nature,0,0
m,single,y,VEN,40,affection,0,0
m,single,y,VEN,40,leisure,0,0
m,single,y,VEN,40,bonding,0,0
m,single,y,VEN,40,achievement,0,0
m,single,y,VEN,40,enjoy_the_moment,0,0
m,single,y,VEN,40,exercise,0,0
m,single,y,VEN,40,nature,0,0
m,single,y,VEN,50,affection,3,66.67
m,single,y,VEN,50,leisure,3,0.0
m,single,y,VEN,50,bonding,3,0.0
m,single,y,VEN,50,achievement,3,0.0
m,single,y,VEN,50,enjoy_the_moment,3,33.33
m,single,y,VEN,50,exercise,3,0.0
m,single,y,VEN,50,nature,3,0.0
m,single,y,VEN,60,affection,0,0
m,single,y,VEN,60,leisure,0,0
m,single,y,VEN,60,bonding,0,0
m,single,y,VEN,60,achievement,0,0
m,single,y,VEN,60,enjoy_the_moment,0,0
m,single,y,VEN,60,exercise,0,0
m,single,y,VEN,60,nature,0,0
m,single,y,VEN,70,affection,0,0
m,single,y,VEN,70,leisure,0,0
m,single,y,VEN,70,bonding,0,0
m,single,y,VEN,70,achievement,0,0
m,single,y,VEN,70,enjoy_the_moment,0,0
m,single,y,VEN,70,exercise,0,0
m,single,y,VEN,70,nature,0,0
m,single,y,VEN,80,affection,0,0
